Date,Security,Close,Return,LogRet
2024-03-14,A200.AX,121.1946792602539,-0.0018490503344841258,-0.001850761938273656
2024-03-15,A200.AX,120.44631958007812,-0.006174855899150122,-0.0061939991671366
2024-03-18,A200.AX,120.68017578125,0.0019415802989015685,0.0019396978680729386
2024-03-19,A200.AX,121.0917739868164,0.003410653016552523,0.0034048499306842898
2024-03-20,A200.AX,120.9140396118164,-0.0014677658865527299,-0.0014688441100838873
2024-03-21,A200.AX,122.38268280029297,0.012146175855107577,0.012073002979026588
2024-03-22,A200.AX,122.073974609375,-0.002522482624618738,-0.002525669444173838
2024-03-25,A200.AX,122.85974884033203,0.0064368693939180766,0.006416241223360103
2024-03-26,A200.AX,122.43880462646484,-0.003426217437691892,-0.003432100361952517
2024-03-27,A200.AX,122.97199249267578,0.004354729432695548,0.004345275036101477
2024-03-28,A200.AX,124.16934204101562,0.009736766267417929,0.009689669425927762
2024-03-29,A200.AX,124.16934204101562,0.0,0.0
2024-04-01,A200.AX,124.16934204101562,0.0,0.0
2024-04-02,A200.AX,123.98728942871094,-0.0014661639444344399,-0.001467239814520291
2024-04-03,A200.AX,122.40279388427734,-0.012779499832074603,-0.012861860074251748
2024-04-04,A200.AX,122.99699401855469,0.004854465453126178,0.004842720530585277
2024-04-05,A200.AX,122.22357940673828,-0.006288077346831233,-0.006307930574703748
2024-04-08,A200.AX,122.51596069335938,0.002392183963522365,0.0023893272464195446
2024-04-09,A200.AX,123.05355072021484,0.004387918307239946,0.0043783194627578835
2024-04-10,A200.AX,123.4591064453125,0.0032957661337198463,0.0032903470000494764
2024-04-11,A200.AX,122.79890441894531,-0.005347536081995119,-0.0053618853313498836
2024-04-12,A200.AX,122.42166137695312,-0.003072039150326389,-0.0030767675489639557
2024-04-15,A200.AX,121.90291595458984,-0.0042373663004456885,-0.004246369378923051
2024-04-16,A200.AX,119.76194763183594,-0.01756289671980804,-0.017718954305513804
2024-04-17,A200.AX,119.65821075439453,-0.0008661923047570408,-0.0008665676660838328
2024-04-18,A200.AX,120.20521545410156,0.004571392938757857,0.004560975857042172
2024-04-19,A200.AX,118.99800109863281,-0.010042944899755213,-0.010093715481005305
2024-04-22,A200.AX,120.28068542480469,0.010779040944634888,0.010721361200815504
2024-04-23,A200.AX,120.86543273925781,0.004861522965120546,0.004849743922980092
2024-04-24,A200.AX,120.89373016357422,0.00023412338561223933,0.00023409598300937074
2024-04-25,A200.AX,120.89373016357422,0.0,0.0
2024-04-26,A200.AX,119.20549011230469,-0.01396466176521538,-0.014063085027028332
2024-04-29,A200.AX,120.11092376708984,0.007595570086009751,0.007566868986067641
2024-04-30,A200.AX,120.55419921875,0.003690550682298621,0.003683757309190865
2024-05-01,A200.AX,119.0923080444336,-0.01212642266955588,-0.012200547589180674
2024-05-02,A200.AX,119.37525177001953,0.0023758354358232037,0.0023730176010727257
2024-05-03,A200.AX,120.0448989868164,0.005609598362037227,0.0055939231588864585
2024-05-06,A200.AX,120.82772064208984,0.0065210738805270285,0.006499903663441779
2024-05-07,A200.AX,122.71402740478516,0.015611539741636316,0.01549093327067534
2024-05-08,A200.AX,122.78004455566406,0.000537975586614392,0.0005378309296274552
